n, V
36, 0.03
1271, 1.02
1269, 1.02
1279, 1.03
1275, 1.03
1275, 1.03
1274, 1.03
1287, 1.04
1269, 1.02
1268, 1.02
1277, 1.03
1282, 1.03
1276, 1.03
1278, 1.03
1278, 1.03
1275, 1.03
1279, 1.03
1282, 1.03
1275, 1.03
1271, 1.02
1271, 1.02
1279, 1.03
1280, 1.03
1268, 1.02
1280, 1.03
1274, 1.03
1280, 1.03
1276, 1.03
1281, 1.03
1282, 1.03
1272, 1.02
1274, 1.03
1277, 1.03
1273, 1.03
1269, 1.02
1281, 1.03
1276, 1.03
31, 0.02
32, 0.03
40, 0.03
39, 0.03
34, 0.03
34, 0.03
33, 0.03
36, 0.03
26, 0.02
24, 0.02
37, 0.03
24, 0.02
33, 0.03
43, 0.03
36, 0.03
32, 0.03
35, 0.03
32, 0.03
31, 0.02
29, 0.02
34, 0.03
35, 0.03
43, 0.03
40, 0.03
35, 0.03
34, 0.03
40, 0.03
41, 0.03
27, 0.02
30, 0.02
28, 0.02
33, 0.03
30, 0.02
32, 0.03
41, 0.03
1268, 1.02
1275, 1.03
1278, 1.03
1272, 1.02
1270, 1.02
1277, 1.03
1273, 1.03
1279, 1.03
1275, 1.03
1274, 1.03
1273, 1.03
1283, 1.03
1271, 1.02
1276, 1.03
1263, 1.02
1280, 1.03
1281, 1.03
1279, 1.03
1272, 1.02
1277, 1.03
1280, 1.03
1274, 1.03
1280, 1.03
1274, 1.03
1280, 1.03
1280, 1.03
1273, 1.03
1276, 1.03
1276, 1.03
1281, 1.03
1273, 1.03
1279, 1.03
1267, 1.02
1276, 1.03
1278, 1.03
1287, 1.04
23, 0.02
29, 0.02
29, 0.02
35, 0.03
33, 0.03
19, 0.02
35, 0.03
29, 0.02
25, 0.02
33, 0.03
33, 0.03
28, 0.02
30, 0.02
30, 0.02
46, 0.04
31, 0.02
29, 0.02
38, 0.03
39, 0.03
28, 0.02
23, 0.02
35, 0.03
39, 0.03
36, 0.03
33, 0.03
39, 0.03
31, 0.02
34, 0.03
32, 0.03
33, 0.03
35, 0.03
29, 0.02
35, 0.03
37, 0.03
38, 0.03
50, 0.04
1280, 1.03
1277, 1.03
1276, 1.03
1269, 1.02
1272, 1.02
1275, 1.03
1282, 1.03
1281, 1.03
1273, 1.03
1277, 1.03
1280, 1.03
1272, 1.02
1275, 1.03
1274, 1.03
1271, 1.02
1278, 1.03
1275, 1.03
1277, 1.03
1284, 1.03
1291, 1.04
1278, 1.03
1271, 1.02
1274, 1.03
1275, 1.03
1278, 1.03
1273, 1.03
1284, 1.03
1277, 1.03
1279, 1.03
1275, 1.03
1272, 1.02
1277, 1.03
1278, 1.03
1278, 1.03
1280, 1.03
32, 0.03
35, 0.03
36, 0.03
37, 0.03
35, 0.03
33, 0.03
35, 0.03
22, 0.02
28, 0.02
37, 0.03
38, 0.03
26, 0.02
42, 0.03
36, 0.03
30, 0.02
27, 0.02
31, 0.02
38, 0.03
32, 0.03
30, 0.02
35, 0.03
